,id,member_id,CLI,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,Owner_ 36 months,Owner_ 60 months,Account_A,Account_B,Account_C,Account_D,Account_E,Account_F,Stg_A1,Stg_A2,Stg_A3,Stg_A4,Stg_A5,Stg_B1,Stg_B2,Stg_B3,Stg_B4,Stg_B5,Stg_C1,Stg_C2,Stg_C3,Stg_C4,Stg_C5,Stg_D1,Stg_D2,Stg_D3,Stg_D4,Stg_D5,Stg_E1,Stg_E3,Stg_E4,Stg_F2,Stg_F3,Stg_F4,SvcLn_1 year,SvcLn_10+ years,SvcLn_2 years,SvcLn_3 years,SvcLn_4 years,SvcLn_5 years,SvcLn_6 years,SvcLn_7 years,SvcLn_8 years,SvcLn_9 years,SvcLn_< 1 year,StgNum_MORTGAGE,StgNum_OWN,StgNum_RENT,Acctype_Not Verified,Acctype_Source Verified,Acctype_Verified,Billngtype_Charged Off,Billngtype_Current,Billngtype_Fully Paid,UnSolProp_1-Dec,UnSolProp_1-Jan,UnSolProp_1-Jun,UnSolProp_1-Nov,UnSolProp_2-Feb,UnSolProp_2-Jan,UnSolProp_2-Jul,UnSolProp_2-Jun,UnSolProp_2-May,UnSolProp_2-Oct,UnSolProp_2-Sep,UnSolProp_3-Apr,UnSolProp_3-Jan,UnSolProp_3-Jul,UnSolProp_3-Jun,UnSolProp_3-May,UnSolProp_3-Nov,UnSolProp_3-Oct,UnSolProp_4-Apr,UnSolProp_4-Dec,UnSolProp_4-Jun,UnSolProp_4-Nov,UnSolProp_4-Sep,UnSolProp_5-Apr,UnSolProp_5-Jul,UnSolProp_5-Oct,UnSolProp_5-Sep,UnSolProp_6-Jul,UnSolProp_6-May,UnSolProp_6-Nov,UnSolProp_6-Oct,UnSolProp_7-Apr,UnSolProp_7-Jan,UnSolProp_7-Jun,UnSolProp_7-Oct,UnSolProp_7-Sep,UnSolProp_Apr-00,UnSolProp_Apr-92,UnSolProp_Apr-95,UnSolProp_Apr-99,UnSolProp_Aug-84,UnSolProp_Aug-93,UnSolProp_Dec-00,UnSolProp_Dec-84,UnSolProp_Dec-87,UnSolProp_Dec-94,UnSolProp_Dec-96,UnSolProp_Dec-98,UnSolProp_Dec-99,UnSolProp_Feb-83,UnSolProp_Feb-84,UnSolProp_Feb-96,UnSolProp_Feb-97,UnSolProp_Jan-00,UnSolProp_Jan-85,UnSolProp_Jan-86,UnSolProp_Jan-96,UnSolProp_Jan-98,UnSolProp_Jul-85,UnSolProp_Jul-99,UnSolProp_Jun-89,UnSolProp_Jun-95,UnSolProp_Mar-94,UnSolProp_May-00,UnSolProp_May-91,UnSolProp_May-97,UnSolProp_Nov-81,UnSolProp_Nov-95,UnSolProp_Nov-97,UnSolProp_Oct-00,UnSolProp_Oct-89,UnSolProp_Oct-96,UnSolProp_Oct-98,UnSolProp_Sep-92,UnSolProp_Sep-98,DelType_12-Aug,DelType_12-Dec,DelType_12-Jul,DelType_12-Jun,DelType_12-Nov,DelType_12-Oct,DelType_12-Sep,DelType_13-Aug,DelType_13-Feb,DelType_13-Mar,DelType_13-May,DelType_13-Nov,DelType_13-Oct,DelType_13-Sep,DelType_14-Apr,DelType_14-Dec,DelType_14-Feb,DelType_14-Jul,DelType_14-Mar,DelType_14-May,DelType_14-Oct,DelType_14-Sep,DelType_15-Apr,DelType_15-Dec,DelType_15-Jan,DelType_15-Jul,DelType_15-Jun,DelType_15-Mar,DelType_15-Nov,DelType_15-Oct,DelType_15-Sep,DelType_16-Jan,binary
1,1077430,1314167,2500,15.27,59.83,30000.0,1.0,0,5,3,0,1687,9.4,4,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,119.66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1062474,1294539,6000,11.71,198.46,84000.0,18.44,2,0,4,0,0,37.73,14,0.0,0.0,7164.499852,7164.5,6000.0,1149.5,15.0,0.0,0.0,16.98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,1068416,1302799,7200,21.67,197.51,75000.0,24.82,0,2,9,1,21706,91.2,19,0.0,0.0,8201.53,8173.07,7200.0,1001.53,0.0,0.0,0.0,6824.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,1069039,1303482,11000,13.49,373.24,48000.0,21.82,0,3,15,0,11382,65.0,29,0.0,0.0,13413.21605,13413.22,11000.0,2413.22,0.0,0.0,0.0,1491.29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
71,1060981,1292558,6400,16.77,227.45,75000.0,20.22,0,0,9,0,7159,67.5,27,0.0,0.0,4776.45,4776.45,3334.25,1431.91,0.0,10.29,0.0,227.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,1068994,1303432,22075,17.27,551.84,150000.0,7.51,0,1,11,0,7334,53.3,31,0.0,0.0,28871.92,28839.26,22075.0,6796.92,0.0,0.0,0.0,15660.22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1075358,1311748,3000,12.69,67.79,80000.0,17.94,0,0,15,0,27783,53.9,38,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0.0,0.0,0.0,67.79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,1069539,1304608,31825,7.9,995.82,75000.0,14.03,0,0,12,0,23151,27.4,26,0.0,0.0,34886.08,34886.08,31825.0,3061.08,0.0,0.0,0.0,16966.7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,1069142,1287810,13000,12.69,293.74,30000.0,13.72,0,0,17,0,17080,58.9,27,0.0,0.0,17402.23999,17402.24,13000.0,4402.24,0.0,0.0,0.0,3596.46,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,1069410,1303652,21000,19.91,555.33,50000.0,21.58,0,1,7,0,19448,97.6,14,0.0,0.0,18319.14,18297.35,8990.81,9328.33,0.0,0.0,0.0,555.33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,1068923,1303549,8000,16.77,284.31,62000.0,21.64,0,3,14,0,6088,66.9,20,0.0,0.0,10267.26214,10267.26,8000.0,2252.27,14.98883533,0.0,0.0,606.54,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39,1069346,1304237,12500,12.69,282.44,27000.0,16.04,0,3,6,0,10143,50.0,24,3193.13,3186.72,13506.54,13479.58,9306.87,4199.67,0.0,0.0,0.0,282.44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33,1069591,1304289,5000,8.9,158.77,24044.0,11.93,0,0,8,0,2224,29.3,16,0.0,0.0,5714.592129,5714.59,5000.0,714.59,0.0,0.0,0.0,163.64,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54,1069238,1303909,12000,9.91,386.7,46000.0,8.11,0,1,11,0,12143,52.1,12,0.0,0.0,13748.21311,13748.21,12000.0,1748.21,0.0,0.0,0.0,964.73,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
