CLI,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_credit_pull_d
1000, 36 months,16.29,35.31,D,D1,< 1 year,RENT,28000,Not Verified,Fully Paid,20.31,0,7-Sep,1,,,11,0,6524,81.5,23,0,0,1270.171106,1270.17,1000,270.17,0,0,0,36.32,16-Jan
10000, 36 months,15.27,347.98,C,C4,4 years,RENT,42000,Not Verified,Fully Paid,18.6,0,Oct-98,2,61,,14,0,24043,70.2,28,0,0,12519.26045,12519.26,10000,2519.26,0,0,0,370.46,15-Apr
3600, 36 months,6.03,109.57,A,A1,10+ years,MORTGAGE,110000,Not Verified,Fully Paid,10.52,0,Aug-93,0,,,20,0,22836,16,42,0,0,3785.02,3785.02,3600,185.02,0,0,0,583.45,14-May
6000, 36 months,11.71,198.46,B,B3,1 year,MORTGAGE,84000,Verified,Fully Paid,18.44,2,3-Oct,0,8,,4,0,0,37.73,14,0,0,7164.499852,7164.5,6000,1149.5,15,0,0,16.98,15-Jul
9200, 36 months,6.03,280.01,A,A1,6 years,RENT,77385.19,Not Verified,Fully Paid,9.86,0,1-Jan,0,,,8,0,7314,23.1,28,0,0,9459.96,9459.96,9200,259.96,0,0,0,8061.1,12-Jul
20250, 60 months,15.27,484.63,C,C4,3 years,RENT,43370,Verified,Fully Paid,26.53,0,Nov-97,3,,,8,0,17813,85.6,22,0,0,27663.04267,25417.68,20250,7413.04,0,0,0,6024.09,15-Dec
21000, 36 months,12.42,701.73,B,B4,10+ years,RENT,105000,Verified,Charged Off,13.22,0,Feb-83,0,,,7,0,32135,90.3,38,0,0,14025.4,14025.4,10694.96,3330.44,0,0,0,701.73,16-Jan
10000, 36 months,11.71,330.76,B,B3,10+ years,OWN,50000,Source Verified,Fully Paid,11.18,0,Jul-85,0,,,8,0,10056,82.4,21,0,0,11902.56157,11902.56,10000,1902.56,0,0,0,349.21,16-Jan
10000, 36 months,11.71,330.76,B,B3,5 years,RENT,50000,Not Verified,Fully Paid,16.01,0,3-Apr,0,,,6,0,17800,91.8,17,0,0,11536.31,11536.31,10000,1536.31,0,0,0,4942.63,14-Mar
6000, 36 months,11.71,198.46,B,B3,1 year,RENT,76000,Not Verified,Charged Off,2.4,0,1-Jun,1,,,7,0,5963,29.7,7,0,0,2050.14,2050.14,1305.58,475.25,0,269.31,2.57,198.46,13-Mar
15000, 36 months,9.91,483.38,B,B1,2 years,MORTGAGE,92000,Verified,Fully Paid,29.44,0,2-Feb,0,,,8,0,13707,93.9,31,0,0,15823.48,15823.48,15000,823.48,0,0,0,2447.05,12-Sep
15000, 36 months,14.27,514.64,C,C2,9 years,RENT,60000,Not Verified,Charged Off,15.22,0,3-Oct,1,,,7,0,5872,57.6,11,0,0,0,0,0,0,0,0,0,0,16-Jan
5000, 60 months,16.77,123.65,D,D2,2 years,RENT,50004,Not Verified,Charged Off,13.97,3,3-Oct,0,20,,14,0,4345,59.5,22,0,0,1609.12,1609.12,629.05,719.11,0,260.96,2.3,123.65,13-May
4000, 36 months,11.71,132.31,B,B3,10+ years,MORTGAGE,106000,Not Verified,Fully Paid,5.63,1,Aug-84,0,18,,12,0,6110,37.7,44,0,0,4484.79,4484.79,4000,484.79,0,0,0,2638.77,16-Jan
8500, 36 months,11.71,281.15,B,B3,< 1 year,RENT,25000,Source Verified,Fully Paid,12.19,0,6-Nov,0,,,8,0,6441,59.1,12,0,0,10122.20861,10122.21,8500,1622.21,0,0,0,581.59,15-Jan
4375, 36 months,7.51,136.11,A,A3,7 years,MORTGAGE,17108,Source Verified,Fully Paid,20.34,0,Dec-87,0,,,6,0,11210,86.9,12,0,0,4898.543558,4898.54,4375,523.54,0,0,0,144.94,14-Dec
31825, 36 months,7.9,995.82,A,A4,5 years,MORTGAGE,75000,Verified,Fully Paid,14.03,0,Nov-81,0,,,12,0,23151,27.4,26,0,0,34886.08,34886.08,31825,3061.08,0,0,0,16966.7,15-Oct
10000, 60 months,15.96,242.97,C,C5,2 years,RENT,29120,Verified,Current,22.83,0,Feb-97,1,68,,11,0,16158,63.6,31,2695.31,2688.53,11622.36,11593.4,7304.67,4317.69,0,0,0,242.97,16-Jan
5000, 36 months,8.9,158.77,A,A5,2 years,RENT,24044,Verified,Fully Paid,11.93,0,5-Apr,0,45,,8,0,2224,29.3,16,0,0,5714.592129,5714.59,5000,714.59,0,0,0,163.64,16-Jan
7000, 36 months,15.96,245.97,C,C5,7 years,RENT,34000,Source Verified,Fully Paid,6.35,0,7-Oct,1,,,6,0,6113,60.5,6,0,0,8848.94043,8848.94,7000,1848.94,0,0,0,260.74,14-Dec
12400, 36 months,10.65,403.91,B,B2,10+ years,RENT,41000,Not Verified,Fully Paid,11.8,0,5-Jul,2,,,9,0,11095,57.2,12,0,0,14537.45953,14537.46,12400,2137.46,0,0,0,417.61,14-Dec
10800, 36 months,9.91,348.03,B,B1,2 years,RENT,55596,Source Verified,Fully Paid,5.5,0,Dec-00,0,,,7,0,2535,13.3,18,0,0,12157.2,12157.2,10800,1357.2,0,0,0,3483.79,16-Jan
15000, 36 months,7.9,469.36,A,A4,1 year,RENT,45000,Verified,Fully Paid,8.48,0,4-Nov,0,,,7,0,6704,50.4,27,0,0,16662.6,16662.6,15000,1662.6,0,0,0,5872.8,16-Jan
6000, 36 months,12.42,200.5,B,B4,1 year,RENT,36852,Source Verified,Fully Paid,10.62,0,7-Apr,1,,,7,0,7310,66.5,12,0,0,7125.283165,7125.28,6000,1125.28,0,0,0,1923.53,16-Jan
12500, 60 months,12.69,282.44,B,B5,1 year,RENT,27000,Verified,Current,16.04,0,1-Dec,3,,,6,0,10143,50,24,3193.13,3186.72,13506.54,13479.58,9306.87,4199.67,0,0,0,282.44,16-Jan
9600, 36 months,7.51,298.67,A,A3,4 years,RENT,68004,Source Verified,Fully Paid,6.63,0,3-Jan,0,,,6,0,2896,18.1,11,0,0,10749.76265,10749.76,9600,1149.76,0,0,0,311.56,14-Dec
12000, 36 months,7.9,375.49,A,A4,10+ years,RENT,62300,Not Verified,Fully Paid,16.7,0,Mar-94,0,38,,15,0,8601,21,25,0,0,13516.38296,13516.38,12000,1516.38,0,0,0,380.98,15-Sep
3000, 36 months,18.25,108.84,D,D5,9 years,MORTGAGE,65000,Not Verified,Fully Paid,17.39,0,Sep-98,0,,,8,0,43936,98.1,22,0,0,3915.027595,3915.03,3000,915.03,0,0,0,115.38,16-Jan
4400, 36 months,16.77,156.37,D,D2,10+ years,RENT,55000,Not Verified,Fully Paid,20.01,0,4-Jun,0,,,7,0,25237,99,11,0,0,5626.892655,5626.89,4400,1226.89,0,0,0,162.44,15-Dec
6000, 36 months,6.03,182.62,A,A1,10+ years,MORTGAGE,45600,Not Verified,Fully Paid,5.34,0,Nov-95,1,,,6,0,3378,32.5,28,0,0,6065.86,6065.86,6000,65.86,0,0,0,15.01,12-Jun
14000, 36 months,9.91,451.15,B,B1,6 years,RENT,80000,Not Verified,Fully Paid,10,0,Jul-99,1,45,,7,0,2219,13.4,40,0,0,16239.91413,16239.91,14000,2239.91,0,0,0,457.91,16-Jan
5000, 36 months,8.9,158.77,A,A5,10+ years,MORTGAGE,100000,Source Verified,Charged Off,16.33,0,Jun-95,0,,,17,0,74351,62.1,35,0,0,5021.37,5021.37,4217.38,696.99,0,107,1.07,158.77,14-Dec
10000, 36 months,10.65,325.74,B,B2,6 years,RENT,27000,Verified,Fully Paid,11.47,0,6-Nov,0,,,7,0,7814,52.3,10,0,0,11724.56774,11724.57,10000,1724.57,0,0,0,332.92,16-Jan
10000, 36 months,6.03,304.36,A,A1,10+ years,RENT,60000,Not Verified,Fully Paid,12.74,0,Sep-92,1,,,11,0,14019,19.5,18,0,0,10282.67,10282.67,10000,282.67,0,0,0,8762.05,16-Jan
11000, 36 months,6.62,337.75,A,A2,5 years,RENT,70000,Not Verified,Fully Paid,10.85,0,2-Jan,0,,,5,0,11638,36.4,7,0,0,12157.38005,12157.38,11000,1157.38,0,0,0,346.13,16-Jan
15000, 36 months,9.91,483.38,B,B1,8 years,MORTGAGE,80000,Not Verified,Charged Off,9.12,0,Apr-92,2,,,9,0,11845,63.7,28,0,0,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,483.38,15-Mar
25600, 36 months,9.91,824.96,B,B1,9 years,RENT,110000,Verified,Fully Paid,15.71,0,Jul-99,0,,,11,0,26088,62,27,0,0,29695.62268,29405.63,25600,4095.62,0,0,0,838.27,16-Jan
7000, 36 months,10.65,228.02,B,B2,< 1 year,RENT,40000,Not Verified,Fully Paid,7.38,0,4-Apr,0,,,7,0,12168,92.9,12,0,0,8205.473816,8205.47,7000,1205.47,0,0,0,240.27,14-Dec
12000, 36 months,15.96,421.65,C,C5,4 years,RENT,50000,Not Verified,Charged Off,20.88,0,6-Oct,2,,,11,0,15793,90.8,11,0,0,3521.95,3521.95,1903.66,1039.35,0,578.94,5.49,421.65,12-Dec
12000, 36 months,9.91,386.7,B,B1,1 year,RENT,46000,Not Verified,Fully Paid,8.11,0,May-00,1,,,11,0,12143,52.1,12,0,0,13748.21311,13748.21,12000,1748.21,0,0,0,964.73,14-Jul
21000, 60 months,19.91,555.33,E,E4,7 years,RENT,50000,Verified,Charged Off,21.58,0,Sep-98,1,,,7,0,19448,97.6,14,0,0,18319.14,18297.35,8990.81,9328.33,0,0,0,555.33,16-Jan
16000, 60 months,19.91,423.11,E,E4,7 years,RENT,81000,Verified,Fully Paid,20.52,0,Dec-98,3,,,12,0,27884,75.1,21,0,0,20876.1,20810.87,16000,4876.1,0,0,0,9931.02,16-Jan
10000, 36 months,12.42,334.16,B,B4,< 1 year,OWN,39000,Not Verified,Fully Paid,18.58,0,4-Dec,0,,,5,0,12874,72.7,10,0,0,11474.76,11474.76,10000,1474.76,0,0,0,5803.94,15-Mar
10000, 36 months,10.65,325.74,B,B2,2 years,RENT,51400,Not Verified,Fully Paid,19.14,0,Oct-00,3,,,10,0,10160,59.1,24,0,0,10575.94,10575.94,10000,575.94,0,0,0,8627.74,14-Sep
7100, 36 months,16.77,252.33,D,D2,1 year,MORTGAGE,33000,Verified,Fully Paid,24,0,7-Apr,2,,,4,0,6021,91.2,8,0,0,9079.334843,9079.33,7100,1979.33,0,0,0,262.78,16-Jan
13000, 60 months,12.69,293.74,B,B5,< 1 year,MORTGAGE,30000,Source Verified,Fully Paid,13.72,0,2-May,0,,,17,0,17080,58.9,27,0,0,17402.23999,17402.24,13000,4402.24,0,0,0,3596.46,16-Jan
8950, 60 months,17.27,223.74,D,D3,6 years,RENT,40000,Verified,Current,19.47,0,6-May,1,,,5,0,10724,58.9,6,2462.25,2455.34,10713.52,10683.65,6487.75,4225.77,0,0,0,223.74,16-Jan
17675, 60 months,14.65,417.25,C,C3,< 1 year,RENT,50000,Source Verified,Fully Paid,16.46,0,2-Jul,2,,,6,0,6661,57.4,14,0,0,21323.43,21323.43,17675,3648.43,0,0,0,13814.81,14-Feb
8000, 36 months,16.77,284.31,D,D2,< 1 year,RENT,62000,Not Verified,Fully Paid,21.64,0,6-Jul,3,,,14,0,6088,66.9,20,0,0,10267.26214,10267.26,8000,2252.27,14.98883533,0,0,606.54,16-Jan
10000, 60 months,10.65,215.69,B,B2,10+ years,RENT,45996,Verified,Charged Off,21.73,0,May-97,1,,,7,0,11170,30.1,15,0,0,8772.91,8751.08,5495.38,2429.23,1,847.3,152.514,1,15-Jun
3500, 36 months,10.65,114.01,B,B2,7 years,MORTGAGE,55000,Not Verified,Fully Paid,5.39,0,5-Oct,1,,,9,0,6611,45.9,12,0,0,4103.168128,4103.17,3500,603.17,0,0,0,118.32,14-Dec
8925, 60 months,17.27,223.11,D,D3,5 years,RENT,30000,Source Verified,Charged Off,13.16,0,Apr-95,0,,113,7,1,9844,70.8,28,0,0,5577.75,5577.75,2812.82,2742.43,0,22.5,0,223.11,16-Jan
16425, 36 months,14.27,563.53,C,C2,4 years,RENT,44544,Source Verified,Fully Paid,22.71,0,2-Oct,1,,,10,0,15747,83.4,18,0,0,18172.71,18172.71,16425,1747.71,0,0,0,13108.71,15-Jul
8200, 60 months,21.28,223.14,F,F2,4 years,RENT,75000,Source Verified,Charged Off,12.48,0,Jan-00,3,,,6,0,9012,73.9,11,0,0,4173.57,4173.57,1525.83,2265.85,0,381.89,3.6,223.14,13-Oct
15000, 36 months,14.65,517.42,C,C3,2 years,OWN,61000,Verified,Fully Paid,11.88,0,4-Jun,1,,,8,0,19397,79.5,18,0,0,18562.40042,18562.4,15000,3562.4,0,0,0,2533.38,16-Jan
13575, 60 months,17.58,341.63,D,D4,5 years,MORTGAGE,44000,Verified,Fully Paid,18.79,0,Apr-00,0,,105,13,1,20657,79.4,21,0,0,18097.34458,18064.1,13575,4522.34,0,0,0,9245.21,14-Apr
6400, 36 months,16.77,227.45,D,D2,5 years,RENT,75000,Not Verified,Charged Off,20.22,0,Dec-94,0,48,,9,0,7159,67.5,27,0,0,4776.45,4776.45,3334.25,1431.91,0,10.29,0,227.45,16-Jan
3000, 36 months,13.49,101.8,C,C1,1 year,RENT,33600,Not Verified,Fully Paid,18.11,0,5-Oct,0,41,,4,0,2745,83.2,7,0,0,3246.8,3246.8,3000,246.8,0,0,0,2539.58,15-Jan
12000, 36 months,16.77,426.47,D,D2,3 years,RENT,50000,Not Verified,Fully Paid,20.57,0,5-Sep,1,,,13,0,11443,97,19,0,0,15346.46687,15346.47,12000,3346.47,0,0,0,441.52,14-Dec
14400, 36 months,8.9,457.25,A,A5,< 1 year,OWN,150000,Source Verified,Fully Paid,14.85,0,Dec-94,0,,,12,0,63864,55,38,0,0,16459.51914,16459.52,14400,2059.52,0,0,0,464.02,14-Dec
12000, 36 months,14.65,413.94,C,C3,10+ years,RENT,90000,Not Verified,Fully Paid,16.56,0,Dec-84,2,40,,12,0,17116,78.5,36,0,0,12699.48,12699.48,12000,699.48,0,0,0,11046.6,16-Jan
11000, 36 months,13.49,373.24,C,C1,10+ years,MORTGAGE,48000,Verified,Fully Paid,21.82,0,Dec-99,3,74,,15,0,11382,65,29,0,0,13413.21605,13413.22,11000,2413.22,0,0,0,1491.29,14-Oct
7200, 60 months,21.67,197.51,F,F3,< 1 year,RENT,75000,Verified,Fully Paid,24.82,0,May-00,2,,97,9,1,21706,91.2,19,0,0,8201.53,8173.07,7200,1001.53,0,0,0,6824.7,16-Jan
15000, 36 months,7.9,469.36,A,A4,1 year,MORTGAGE,52000,Not Verified,Fully Paid,9.65,0,3-Nov,1,,,11,0,1616,6.7,29,0,0,15557.64,15557.64,15000,557.64,0,0,0,312.74,14-Mar
18000, 60 months,19.91,475.99,E,E4,10+ years,MORTGAGE,65000,Not Verified,Fully Paid,6.81,0,Jun-89,0,25,,10,0,11745,77.8,40,0,0,26027.53964,26027.54,18000,8003.76,23.78149961,0,0,10783.73,14-Oct
22075, 60 months,17.27,551.84,D,D3,3 years,MORTGAGE,150000,Verified,Fully Paid,7.51,0,3-Jun,1,35,,11,0,7334,53.3,31,0,0,28871.92,28839.26,22075,6796.92,0,0,0,15660.22,14-Feb
10000, 36 months,14.27,343.09,C,C2,2 years,RENT,68000,Source Verified,Fully Paid,15.39,0,6-Jul,1,,,9,0,11303,81.3,15,0,0,10671.62,10671.62,10000,671.62,0,0,0,8962.31,13-Feb
11800, 36 months,12.69,395.83,B,B5,6 years,RENT,42000,Source Verified,Fully Paid,9.86,0,Oct-96,0,,,4,0,8940,74.8,13,0,0,14243.15837,14243.16,11800,2443.16,0,0,0,419.36,14-Dec
4500, 36 months,6.03,136.96,A,A1,4 years,RENT,53000,Source Verified,Fully Paid,4.44,0,Oct-00,0,,,7,0,8630,13.9,17,0,0,4930.30217,4930.3,4500,430.3,0,0,0,138.95,14-Dec
7000, 36 months,12.69,234.82,B,B5,10+ years,RENT,35000,Source Verified,Fully Paid,11.35,0,May-00,2,53,,10,0,7649,82.3,26,0,0,8449.394742,8449.39,7000,1449.39,0,0,0,248.19,15-Nov
9200, 36 months,12.42,307.43,B,B4,2 years,RENT,60000,Source Verified,Fully Paid,19.96,0,2-Oct,3,,,8,0,23299,78.7,19,0,0,10480.84,10480.84,9200,1280.84,0,0,0,365.48,14-Jul
14000, 60 months,17.27,349.98,D,D3,4 years,RENT,28000,Verified,Current,6.34,0,5-Jul,2,,,5,0,6986,79.4,10,3842.41,3835.51,16777.04,16747.17,10157.6,6619.44,0,0,0,349.98,16-Jan
4500, 60 months,10.65,97.06,B,B2,< 1 year,MORTGAGE,42000,Source Verified,Fully Paid,5.4,0,Feb-83,0,,,4,0,8220,78.3,9,0,0,4907.8,4880.55,4500,407.8,0,0,0,3946.24,12-Dec
12000, 36 months,16.29,423.61,D,D1,9 years,RENT,88365,Verified,Fully Paid,16.85,0,Oct-96,0,,,6,0,22936,96.4,15,0,0,14685.36,14685.36,12000,2685.36,0,0,0,5800.45,15-Sep
12000, 36 months,13.49,407.17,C,C1,4 years,RENT,72000,Source Verified,Fully Paid,21.33,0,3-May,1,,,11,0,3419,27.6,19,0,0,13985.67622,13985.68,12000,1985.68,0,0,0,426.26,16-Jan
12000, 36 months,10.65,390.88,B,B2,< 1 year,RENT,62000,Verified,Fully Paid,23.94,0,2-Jun,0,,,10,0,20310,78.4,51,0,0,12779.62,12779.62,12000,779.62,0,0,0,10046.57,15-Jul
7000, 36 months,10.65,228.02,B,B2,3 years,MORTGAGE,43680,Not Verified,Fully Paid,5.38,0,Oct-00,0,39,,7,0,6245,78.1,11,0,0,7687.73,7687.73,7000,687.73,0,0,0,4958.61,13-Feb
8200, 60 months,19.42,214.62,E,E3,3 years,RENT,120000,Source Verified,Fully Paid,2.8,0,7-Jun,2,,,5,0,10392,88.4,6,0,0,11894.8952,11894.9,8200,3694.9,0,0,0,4625.07,16-Jan
10500, 36 months,12.69,352.23,B,B5,10+ years,RENT,66000,Verified,Fully Paid,20.73,1,Sep-98,2,10,,8,0,5790,51.2,26,0,0,11232.14,11232.14,10500,732.14,0,0,0,4421.32,12-Oct
7000, 36 months,11.71,231.54,B,B3,4 years,OWN,39120,Not Verified,Fully Paid,21.01,0,Dec-96,0,26,33,8,1,9414,52.4,26,0,0,7932.3,7932.3,7000,932.3,0,0,0,4235.03,16-Jan
15300, 60 months,22.06,423.1,F,F4,6 years,RENT,85000,Verified,Current,20.58,0,Feb-84,2,56,,14,0,26524,89.7,27,4523.91,4516.51,20295.8,20262.65,10776.09,9519.71,0,0,0,423.1,16-Jan
12800, 60 months,11.71,282.86,B,B3,4 years,MORTGAGE,47800,Verified,Fully Paid,10.04,0,1-Nov,0,,,15,0,16447,46.3,27,0,0,15161.27,15131.66,12800,2361.27,0,0,0,9242.39,13-Nov
17500, 60 months,17.27,437.47,D,D3,7 years,MORTGAGE,45000,Not Verified,Charged Off,21.31,0,2-Sep,2,,,13,0,20129,86.1,26,0,0,10037.1,10037.1,3077.85,3473.25,0,3486,625.617,437.47,15-Dec
3500, 36 months,6.03,106.53,A,A1,10+ years,MORTGAGE,83000,Verified,Fully Paid,2.31,0,Jan-86,0,35,,6,0,3092,13.4,28,0,0,3834.66085,3834.66,3500,334.66,0,0,0,107.86,14-Dec
6000, 60 months,12.69,135.57,B,B5,< 1 year,RENT,81000,Source Verified,Current,13.66,1,4-Nov,0,20,,6,0,15102,50,17,1527.6,1527.6,6495.11,6495.11,4472.4,2022.71,0,0,0,135.57,16-Jan
6200, 36 months,9.91,199.8,B,B1,2 years,RENT,25000,Not Verified,Charged Off,20.64,0,May-98,2,,,7,0,6533,47.7,12,0,0,2452.22,2452.22,1700.79,493.16,0,258.27,2.54,199.8,13-May
16000, 60 months,17.58,402.65,D,D4,7 years,RENT,65000,Not Verified,Current,15.56,0,Oct-96,0,,,8,0,21166,87.1,16,4415.97,4415.97,19297.95,19297.95,11584.03,7713.92,0,0,0,402.65,16-Jan
6000, 36 months,8.9,190.52,A,A5,8 years,OWN,28800,Not Verified,Fully Paid,13.17,0,5-Jul,0,,,11,0,5269,36.8,13,0,0,6857.167486,6857.17,6000,857.17,0,0,0,198.47,15-Dec
7200, 36 months,9.91,232.02,B,B1,6 years,RENT,135000,Not Verified,Fully Paid,6.12,0,Jan-97,0,,,7,0,16627,79.6,18,0,0,8350.844344,8350.84,7200,1150.84,0,0,0,240.64,16-Jan
9500, 36 months,8.9,301.66,A,A5,7 years,MORTGAGE,50000,Not Verified,Fully Paid,8.18,0,5-Jun,0,,,8,0,13422,60.5,13,0,0,10493.71,10493.71,9500,993.71,0,0,0,5378.43,16-Jan
18825, 60 months,16.77,465.53,D,D2,10+ years,RENT,38000,Verified,Charged Off,23.18,0,4-Dec,0,,,6,0,11004,79.7,7,0,0,18218.25,18194.23,8087.75,6786.71,0,3343.79,575.2393,465.53,16-Jan
24000, 36 months,10.65,781.76,B,B2,10+ years,RENT,45000,Verified,Fully Paid,14.8,0,Feb-90,0,,,5,0,24708,55.2,9,0,0,28140.92936,28140.93,24000,4140.93,0,0,0,791.58,14-Dec
6000, 36 months,13.49,203.59,C,C1,10+ years,RENT,80000,Not Verified,Fully Paid,11.58,0,2-Feb,0,,,8,0,15499,83.8,16,0,0,7326.009787,7326.01,6000,1326.01,0,0,0,212.86,16-Jan
6000, 36 months,13.49,203.59,C,C1,5 years,RENT,50000,Not Verified,Fully Paid,15.38,0,4-Mar,1,,,6,0,15191,91.5,7,0,0,7325.544153,7325.54,6000,1325.54,0,0,0,214.39,14-Dec
2100, 36 months,12.42,70.18,B,B4,10+ years,MORTGAGE,30000,Not Verified,Fully Paid,19.72,0,Jul-95,1,,,12,0,12183,82.9,26,0,0,2552.485243,2552.49,2100,422.49,30,0,0,72.44,14-Nov
5500, 36 months,6.62,168.88,A,A2,8 years,MORTGAGE,110000,Verified,Fully Paid,9.69,0,Aug-94,0,,,7,0,14136,21.9,26,0,0,6077.875619,6077.88,5500,577.88,0,0,0,178.58,14-Dec
11000, 36 months,6.62,337.75,A,A2,8 years,OWN,45608,Source Verified,Fully Paid,20.5,0,Jun-92,0,,,7,0,10677,58.7,11,0,0,12156.85732,12156.86,11000,1156.86,0,0,0,349.86,16-Jan
26800, 60 months,20.89,723.38,F,F1,3 years,MORTGAGE,120000,Verified,Fully Paid,12.15,0,6-May,0,,,13,0,14772,48,18,0,0,32887.69,32887.69,26800,6087.69,0,0,0,23499.05,16-Jan
8000, 36 months,12.69,268.36,B,B5,5 years,MORTGAGE,35000,Not Verified,Fully Paid,10.05,0,2-Oct,0,,,7,0,6842,97.7,18,0,0,8999.1,8999.1,8000,999.1,0,0,0,5514.5,15-Jun
10000, 36 months,18.25,362.78,D,D5,1 year,RENT,75000,Source Verified,Charged Off,24.14,0,Mar-97,0,77,,9,0,22828,96.3,26,0,0,11730.6,11730.6,8320.22,3145.08,36.24699818,229.06,2.2906,200,15-Jan
8000, 36 months,11.71,264.61,B,B3,9 years,MORTGAGE,35000,Verified,Fully Paid,9.7,0,6-Apr,0,,,7,0,6142,46.5,8,0,0,9434.776936,9434.78,8000,1434.78,0,0,0,2295.56,14-Apr
10000, 36 months,8.9,317.54,A,A5,6 years,RENT,24000,Verified,Fully Paid,7,0,Jan-00,0,28,,6,0,6734,49.5,21,0,0,10868.92,10868.92,10000,868.92,0,0,0,6743.26,13-Mar
12000, 36 months,11.71,396.92,B,B3,2 years,MORTGAGE,126000,Not Verified,Fully Paid,13.32,0,Apr-90,0,74,,17,0,32711,54.1,38,0,0,14182.29986,14182.3,12000,2182.3,0,0,0,3074.04,16-Jan
