Project ID,Opportunity Owner,Account Name,Stage, Amount ,Expected Revenue,Probability,Service Category,Service Line,Stage Number,New Business,Account Type,Billing Type,MSA Signed,Unsolicited Proposal,Deliverable Type
23,Karen Gelstein,Pitney Bowes Inc.,Opportunity Closed LOST,600000,0,0,Microsoft Systems,Technology Build Services,-1,0,US-East BU,Fixed Bid,0,Yes,Scope of Work / Project
24,Kenton Kisler,Saxon Mortgage,Verbal Agreement,80300,56210,1,Organization and Process Improvement,Quality and Testing,7,1,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
25,Kenton Kisler,Saxon Mortgage,Opportunity Identification Stage,150000,45000,0,,Consulting,3,0,US-West BU,Flat Fee Monthly,1,Yes,Managed Services / SLA Based
26,Kenton Kisler,Saxon Mortgage,Opportunity Identification Stage,100000,30000,0,,Consulting,3,0,US-West BU,Flat Fee Monthly,1,Yes,Managed Services / SLA Based
27,Kevin Swanson,"Wellpoint, Inc",Signed Contract,382650.2,382650.2,1,,Technology Build Services,8,1,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
28,Kevin Swanson,"Wellpoint, Inc",Signed Contract,203724,203724,1,,Technology Build Services,8,1,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
29,Kevin Swanson,"Wellpoint, Inc",Signed Contract,32214.12,32214.12,1,,Technology Build Services,8,1,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
30,Kevin Swanson,"Wellpoint, Inc",Signed Contract,96878,96878,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
31,Kevin Swanson,"Wellpoint, Inc",Signed Contract,49020,49020,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
32,Kevin Swanson,"Wellpoint, Inc",Signed Contract,26596,26596,1,,Technology Build Services,8,1,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
33,Kevin Swanson,"Wellpoint, Inc",Signed Contract,164311,164311,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
34,Kevin Swanson,"Wellpoint, Inc",Opportunity Identification Stage,2500000,250000,0,,Technology Build Services,3,1,WellPoint BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
35,Kyle Crane,"Express Scripts, Inc.",Signed Contract,345648,345648,1,Business and Domain Consulting,Consulting,8,1,US-Central BU,T and E with Cap,1,No,Staff Augmentation
36,Leo Bley,Safeway,Proposal Preparation Stage,129600,64800,1,,Business Intelligence and Data Management,4,0,US-West BU,Time and Expense,1,No,Scope of Work / Project
37,Mahesh Bhaskar,GE Corporate,Signed Contract,0,0,0,Business Intelligence And Reporting,Application Managed Services,8,0,GE BU,Flat Fee Monthly,1,No,Staff Augmentation
38,Mahesh Bhaskar,GE Corporate,Signed Contract,5800,5800,1,,Enterprise Solutions,8,1,GE BU,Fixed Bid,1,No,Scope of Work / Project
39,Mahesh Bhaskar,GE Corporate,Signed Contract,3550,3550,1,,Enterprise Solutions,8,1,GE BU,Fixed Bid,1,No,Scope of Work / Project
40,Mahesh Bhaskar,GE Corporate,Signed Contract,1000,1000,1,,Enterprise Solutions,8,1,GE BU,Fixed Bid,1,No,Scope of Work / Project
41,Mahesh Bhaskar,GE Corporate,Signed Contract,348407.4,348407.4,1,,Application Managed Services,8,0,GE BU,Flat Fee Monthly,1,No,Staff Augmentation
42,Michael Hopewell,Equifax Inc.,Proposal Preparation Stage,1500000,450000,0,,Technology Build Services,4,0,US-East BU,Time and Expense,0,Yes,Staff Augmentation
43,Nadarsha Sainaba,"Wellpoint, Inc",Signed Contract,-236761,-236761,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
44,Nadarsha Sainaba,"Wellpoint, Inc",Signed Contract,54936,54936,1,,Quality and Testing,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
45,Nadarsha Sainaba,"Wellpoint, Inc",Signed Contract,117399,117399,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,Yes,Staff Augmentation
46,Nadarsha Sainaba,"Wellpoint, Inc",Signed Contract,44220,44220,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
47,Narendranath PN,Kerala Service Coop Banks,Proposal Preparation Stage,4444.44,2222.22,1,,Technology Build Services,4,0,SMB BU,Fixed Bid,0,Yes,Managed Services / SLA Based
48,Narendranath PN,Kerala Service Coop Banks,Proposal On-desk Stage,4444.44,2666.66,1,,Technology Build Services,5,0,SMB BU,Fixed Bid,0,Yes,Managed Services / SLA Based
49,Praveen Syamala,"Wellpoint, Inc",Signed Contract,828621,828621,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
50,Praveen Syamala,"Wellpoint, Inc",Signed Contract,103432,103432,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
51,Ramakrishnan Gopalan,"DELL, Inc.",Execution Complete,992,992,1,Database Management,Infrastructure Management Services,-3,1,Dell BU,Time and Expense,0,No,Staff Augmentation
52,Ramakrishnan Gopalan,"DELL, Inc.",Proposal Preparation Stage,852048,426024,1,Microsoft Systems,Technology Build Services,4,1,Dell BU,Time and Expense,0,No,Staff Augmentation
53,Ramakrishnan Gopalan,"DELL, Inc.",Proposal Preparation Stage,19146,9573,1,Database Management,Application Managed Services,4,0,Dell BU,Time and Expense,0,No,Staff Augmentation
54,Ramakrishnan Gopalan,"DELL, Inc.",Proposal Preparation Stage,75996,37998,1,Microsoft Systems,Technology Build Services,4,0,Dell BU,Time and Expense,0,No,Staff Augmentation
55,Ramakrishnan Gopalan,"DELL, Inc.",Proposal Preparation Stage,77764,38882,1,,Technology Build Services,4,0,Dell BU,Time and Expense,0,No,Staff Augmentation
56,Ramakrishnan Gopalan,"DELL, Inc.",Proposal Preparation Stage,58333,29166.5,1,,Infrastructure Management Services,4,0,Dell BU,Time and Expense,0,No,Staff Augmentation
57,Raphael Hildesheim,GE Business Units,Opportunity Identification Stage,300000,90000,0,Application Management,Application Managed Services,3,1,GE BU,Fixed Bid,0,Yes,Scope of Work / Project
58,Ryan Prindiville,Safeway,Signed Contract,117660,117660,1,Java Systems,Technology Build Services,8,0,US-West BU,Time and Expense,1,No,Scope of Work / Project
59,Saju Balakrishnan,CareFusion,Verbal Agreement,11835,10651.5,1,,Enterprise Solutions,7,1,US-West BU,Time and Expense,1,No,Scope of Work / Project
60,Saju Thomas Mathew,"Wellpoint, Inc",Signed Contract,69015,69015,1,Mainframe Systems,Technology Build Services,8,1,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
61,Saju Thomas Mathew,"Wellpoint, Inc",Signed Contract,0,0,0,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
62,Venkatesh Rao,"Wellpoint, Inc",Signed Contract,427680,427680,1,Data Integration,Business Intelligence and Data Management,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
63,Venkatesh Rao,"Wellpoint, Inc",Signed Contract,297318,297318,1,Java Systems,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
64,Venkatesh Rao,"Wellpoint, Inc",Signed Contract,0,0,0,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
65,Venkatesh Rao,"Wellpoint, Inc",Signed Contract,0,0,0,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
66,Venkatesh Rao,"Wellpoint, Inc",Signed Contract,695635,695635,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
67,Vivek Anand,Walmart,Signed Contract,12932,12932,1,,Technology Build Services,8,0,Wal-Mart,Time and Expense,0,Yes,Staff Augmentation
68,Amandeep Sidhu,"Dana Companies, Llc",Verbal Agreement,4384,3945.6,1,,Technology Build Services,7,0,US-Central BU,Time and Expense,0,No,Staff Augmentation
69,Anand Nair,"Wellpoint, Inc",Signed Contract,105871,105871,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Scope of Work / Project
70,Andrew Wille,Walt Disney Company,No bid / Retraction,98102,0,0,,Technology Build Services,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
71,Arun Satyan,Walt Disney Company,Negotiation / Short-list Stage,98847,79077.6,1,Microsoft Systems,Technology Build Services,6,0,US-West BU,Time and Expense,0,No,Staff Augmentation
72,Cengiz Uludag,DHL-Europe,Signed Contract,6611.3,6611.3,1,,Application Managed Services,8,1,DHL,Fixed Bid,0,No,Scope of Work / Project
73,Cengiz Uludag,DHL-AsiaPac,F2F Meeting Stage,15000,3000,0,,Application Managed Services,2,1,DHL,Fixed Bid,0,No,Scope of Work / Project
74,Chris Bryson,JBS Swift,Signed Contract,1426562,1426562,1,Portfolio Management,Consulting,8,0,US-West BU,Time and Expense,0,No,Scope of Work / Project
75,Denny Mathews,"Wellpoint, Inc",Proposal Preparation Stage,58880,29440,1,,Enterprise Solutions,4,1,WellPoint BU,Fixed Bid,0,No,Scope of Work / Project
76,Donald Scott,Wolseley,Proposal Preparation Stage,200000,100000,1,,Consulting,4,1,US-East BU,Time and Expense,1,Yes,Scope of Work / Project
77,Gary Rikard,Automobile Club of Southern California,Signed Contract,180000,180000,1,Mainframe Systems,Technology Build Services,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
78,Haresh Tripathi,Cisco,No bid / Retraction,360000,0,0,Collaboration Systems,Technology Build Services,-2,0,Cisco,Time and Expense,0,No,Staff Augmentation
79,Haresh Tripathi,Cisco,No bid / Retraction,400000,0,0,Enterprise Architecture,Consulting,-2,0,Cisco,Fixed Bid,0,No,Scope of Work / Project
80,Haresh Tripathi,Cisco,No bid / Retraction,232200,0,0,Collaboration Systems,Technology Build Services,-2,0,Cisco,Flat Fee Monthly,0,No,Staff Augmentation
81,Haresh Tripathi,Cisco,No bid / Retraction,20000,0,0,Business and Domain Consulting,Consulting,-2,1,Cisco,Time and Expense,0,Yes,Scope of Work / Project
82,Haresh Tripathi,Cisco,F2F Meeting Stage,0,0,0,,Consulting,2,0,Cisco,Time and Expense,0,,
83,Haresh Tripathi,Cisco,Tele-Sales Stage,300000,3000,0,,Consulting,0,0,Cisco,Time and Expense,0,Yes,
84,James Jarvis,UBS,Signed Contract,182000,182000,1,Application Management,Application Managed Services,8,0,Europe BU,Flat Fee Monthly,0,No,Staff Augmentation
85,Jay Kuderka,Automobile Club of Southern California,Proposal Preparation Stage,81600,40800,1,,Technology Build Services,4,1,US-West BU,Time and Expense,0,No,Staff Augmentation
86,Jay Kuderka,Automobile Club of Southern California,Proposal Preparation Stage,85800,42900,1,,Technology Build Services,4,0,US-West BU,Time and Expense,0,No,Staff Augmentation
87,Jay Kuderka,Warner Bros. Entertainment Inc.,Proposal Preparation Stage,250000,125000,1,,Infrastructure Management Services,4,1,US-West BU,Flat Fee Monthly,0,No,Scope of Work / Project
88,Jayesh Menon,WellCare Health Plans,Signed Contract,97104,97104,1,Infrastructure Management,Infrastructure Management Services,8,0,US-East BU,Flat Fee Monthly,1,No,Staff Augmentation
89,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,92880,92880,1,Java Systems,Technology Build Services,8,0,US-West BU,Flat Fee Monthly,1,No,Staff Augmentation
90,Jeremy McClellan,Costco Wholesale Corporation,Negotiation / Short-list Stage,193900,155120,1,,Consulting,6,0,US-West BU,Flat Fee Monthly,1,No,Staff Augmentation
91,Jeremy McClellan,Costco Wholesale Corporation,Verbal Agreement,141384,127245.6,1,,Technology Build Services,7,0,US-West BU,Flat Fee Monthly,1,No,Staff Augmentation
92,Jeremy McClellan,Costco Wholesale Corporation,Negotiation / Short-list Stage,231600,185280,1,,Technology Build Services,6,0,US-West BU,Flat Fee Monthly,1,No,Staff Augmentation
93,Jeremy McClellan,Costco Wholesale Corporation,Proposal Preparation Stage,335000,167500,1,,Enterprise Solutions,4,1,US-West BU,Fixed Bid,1,Yes,Scope of Work / Project
94,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,89000,89000,1,,Consulting,8,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
95,John Christina,"Wellpoint, Inc",Proposal Preparation Stage,12000000,1200000,0,QA Consulting,Quality and Testing,4,1,WellPoint BU,Time and Expense,0,No,Scope of Work / Project
96,John Christina,"Wellpoint, Inc",Verbal Agreement,110920,66552,1,Portfolio Management,Quality and Testing,7,1,WellPoint BU,Fixed Bid,0,No,Scope of Work / Project
97,Jose Ossa,Independence Blue Cross,Signed Contract,317865,317865,1,Application Management,Application Managed Services,8,0,US-East BU,Flat Fee Monthly,0,No,Staff Augmentation
98,Jose Ossa,Independence Blue Cross,Signed Contract,748298,748298,1,Application Management,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,No,Staff Augmentation
99,Jose Ossa,Independence Blue Cross,Verbal Agreement,408080,408080,1,,Application Managed Services,7,0,US-East BU,Flat Fee Monthly,0,No,Staff Augmentation
100,Karen Gelstein,"BJ's Wholesale Club, Inc.",Opportunity Identification Stage,500000,150000,0,Business Intelligence And Reporting,Consulting,3,0,US-East BU,Time and Expense,0,Yes,Scope of Work / Project
101,Karen Gelstein,"BJ's Wholesale Club, Inc.",Proposal On-desk Stage,921300,552780,1,Application Management,Application Managed Services,5,0,US-East BU,Flat Fee Monthly,0,No,Managed Services / SLA Based
102,Karen Gelstein,"BJ's Wholesale Club, Inc.",F2F Meeting Stage,500000,100000,0,,Application Managed Services,2,0,US-East BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
103,Karen Gelstein,"BJ's Wholesale Club, Inc.",Phone Meeting Stage,500000,50000,0,,Consulting,1,0,US-East BU,T and E with Cap,0,Yes,Scope of Work / Project
104,Kevin Swanson,"Wellpoint, Inc",Signed Contract,116916,116916,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
105,Michael Hopewell,Equifax Inc.,Opportunity Identification Stage,200000,60000,0,Siebel Systems,Enterprise Solutions,3,0,US-East BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
106,Michael Hopewell,Equifax Inc.,Proposal Preparation Stage,3000000,1500000,1,,Application Managed Services,4,0,US-East BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
107,Michael Hopewell,Equifax Inc.,Proposal Preparation Stage,4500000,2250000,1,,Technology Build Services,4,0,US-East BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
108,Michael Hopewell,Equifax Inc.,Proposal Preparation Stage,1500000,750000,1,,Quality and Testing,4,0,US-East BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
109,Nadarsha Sainaba,"Wellpoint, Inc",Signed Contract,130056,130056,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,Yes,Staff Augmentation
110,Rakesh Raghudharan,Walmart,Verbal Agreement,59085,53176.5,1,,Technology Build Services,7,0,Wal-Mart,Fixed Bid,0,No,Managed Services / SLA Based
111,Rakesh Raghudharan,Walmart,Verbal Agreement,118000,106200,1,,Technology Build Services,7,1,Wal-Mart,Time and Expense,0,Yes,Staff Augmentation
112,Rakesh Raghudharan,Walmart,Verbal Agreement,63360,57024,1,,Consulting,7,1,Wal-Mart,Time and Expense,0,Yes,Staff Augmentation
113,Rakesh Raghudharan,Walmart,Verbal Agreement,60390,54351,1,,Consulting,7,1,Wal-Mart,Time and Expense,0,Yes,Staff Augmentation
114,Ryan Prindiville,Safeway,Execution Complete,840,840,1,,Consulting,-3,0,US-West BU,Time and Expense,1,No,Staff Augmentation
115,Saju Thomas Mathew,"Wellpoint, Inc",Negotiation / Short-list Stage,1825000,912500,1,Mainframe Systems,Business Intelligence and Data Management,6,1,WellPoint BU,Fixed Bid,0,No,Scope of Work / Project
116,Santosh Rajput,Debenhams plc,Signed Contract,35283.6,35283.6,1,Microsoft Systems,Technology Build Services,8,0,Europe BU,Time and Expense,0,No,Staff Augmentation
117,Santosh Rajput,Debenhams plc,Signed Contract,11761.2,11761.2,1,Business and Domain Consulting,Consulting,8,0,Europe BU,Time and Expense,0,No,Staff Augmentation
118,Santosh Rajput,Debenhams plc,Signed Contract,14145.84,14145.84,1,Microsoft Systems,Technology Build Services,8,0,Europe BU,Time and Expense,0,No,Staff Augmentation
119,Santosh Rajput,Debenhams plc,Tele-Sales Stage,9833,98.33,0,Microsoft Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
120,Santosh Rajput,Debenhams plc,Tele-Sales Stage,33955,339.55,0,Microsoft Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
121,Santosh Rajput,Debenhams plc,Tele-Sales Stage,12963,129.63,0,Microsoft Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
122,Santosh Rajput,Debenhams plc,Tele-Sales Stage,44758,447.58,0,Microsoft Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
123,Santosh Rajput,Debenhams plc,Tele-Sales Stage,18864,188.64,0,Other Enterprise Systems,Enterprise Solutions,0,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
124,Santosh Rajput,Debenhams plc,Tele-Sales Stage,11147,111.47,0,Other Enterprise Systems,Enterprise Solutions,0,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
125,Santosh Rajput,Debenhams plc,Verbal Agreement,22295,20065.5,1,Microsoft Systems,Technology Build Services,7,0,Europe BU,Time and Expense,0,No,Staff Augmentation
126,Santosh Rajput,Debenhams plc,Tele-Sales Stage,22638,226.38,0,Microsoft Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
127,Santosh Rajput,Debenhams plc,Tele-Sales Stage,22295,222.95,0,Microsoft Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
128,Santosh Rajput,Debenhams plc,Verbal Agreement,11147,10032.3,1,Java Systems,Technology Build Services,7,0,Europe BU,Time and Expense,0,No,Staff Augmentation
129,Santosh Rajput,Debenhams plc,Tele-Sales Stage,11318,113.18,0,Java Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
130,Santosh Rajput,Debenhams plc,Tele-Sales Stage,11147,111.47,0,Java Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
131,Santosh Rajput,Debenhams plc,Verbal Agreement,53607,48246.3,1,Microsoft Systems,Technology Build Services,7,0,Europe BU,Time and Expense,0,No,Staff Augmentation
132,Santosh Rajput,Debenhams plc,Tele-Sales Stage,54431,544.31,0,Microsoft Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
133,Santosh Rajput,Debenhams plc,Tele-Sales Stage,53607,536.07,0,Microsoft Systems,Technology Build Services,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
134,Santosh Rajput,Debenhams plc,Verbal Agreement,22295,20065.5,1,Other Enterprise Systems,Enterprise Solutions,7,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
135,Santosh Rajput,Debenhams plc,Tele-Sales Stage,22295,222.95,0,Other Enterprise Systems,Enterprise Solutions,0,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
136,Santosh Rajput,Debenhams plc,Tele-Sales Stage,14920,149.2,0,Business and Domain Consulting,Consulting,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
137,Santosh Rajput,Debenhams plc,Tele-Sales Stage,11318,113.18,0,Business and Domain Consulting,Consulting,0,0,Europe BU,Time and Expense,0,No,Staff Augmentation
138,Santosh Rajput,Debenhams plc,Tele-Sales Stage,11318,113.18,0,Business Intelligence And Reporting,Business Intelligence and Data Management,0,1,Europe BU,Time and Expense,0,No,Scope of Work / Project
139,Santosh Rajput,Debenhams plc,Signed Contract,11761.2,11761.2,1,Business Intelligence And Reporting,Business Intelligence and Data Management,8,1,Europe BU,Time and Expense,0,No,Scope of Work / Project
140,Santosh Rajput,Debenhams plc,Tele-Sales Stage,14920,149.2,0,Business Intelligence And Reporting,Business Intelligence and Data Management,0,1,Europe BU,Time and Expense,0,No,Scope of Work / Project
141,Santosh Rajput,ASDA Group Limited,Signed Contract,46947.6,46947.6,1,,Technology Build Services,8,0,Wal-Mart,Time and Expense,0,No,Staff Augmentation
142,Scott Fitzgibbons,Health Care Service Corporation,Opportunity Identification Stage,0,0,0,Application Management,Application Managed Services,3,1,US-Central BU,Time and Expense,0,No,Scope of Work / Project
143,Sue Clarey,Emdeon Corporation,Signed Contract,41280,41280,1,Java Systems,Technology Build Services,8,0,US-Central BU,Flat Fee Monthly,1,No,Staff Augmentation
144,Sue Clarey,Emdeon Corporation,Execution Complete,108075,108075,1,,Technology Build Services,-3,0,US-Central BU,Flat Fee Monthly,1,No,Scope of Work / Project
145,Sue Clarey,Emdeon Corporation,Execution Complete,20640,20640,1,,Technology Build Services,-3,0,US-Central BU,Flat Fee Monthly,1,No,Staff Augmentation
146,Sue Clarey,Emdeon Corporation,Execution Complete,33260,33260,1,,Technology Build Services,-3,0,US-Central BU,Flat Fee Monthly,1,No,Staff Augmentation
147,Terry Zink,"Mattel, Inc.",Verbal Agreement,49500,49500,1,Finance and Accounting Services,Business Process Outsourcing,7,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
148,Terry Zink,"Mattel, Inc.",Proposal Preparation Stage,773102,386551,1,,Enterprise Solutions,4,0,US-West BU,Fixed Bid,1,No,Scope of Work / Project
149,Terry Zink,"Mattel, Inc.",Proposal On-desk Stage,365265,219159,1,,Business Intelligence and Data Management,5,0,US-West BU,Time and Expense,1,No,Scope of Work / Project
150,Terry Zink,Equator,No bid / Retraction,900000,0,0,,Business Process Outsourcing,-2,0,US-West BU,Flat Fee Monthly,1,No,Managed Services / SLA Based
151,Terry Zink,"Mattel, Inc.",Proposal Preparation Stage,85000,42500,1,,Business Intelligence and Data Management,4,0,US-West BU,Time and Expense,1,No,Staff Augmentation
152,Vasudevan Ramanujam,Aviva plc,Proposal Preparation Stage,1272960,636480,1,Application Management,Application Managed Services,4,0,Aviva,T and E with Cap,0,Yes,Scope of Work / Project
153,Vivek Anand,Walmart,Signed Contract,287784,287784,1,Open Source Systems,Technology Build Services,8,0,Wal-Mart,Fixed Bid,0,No,Scope of Work / Project
154,Vivek Anand,Walmart,Verbal Agreement,20000,18000,1,,Quality and Testing,7,0,Wal-Mart,Fixed Bid,0,No,Scope of Work / Project
155,Vivek Anand,Walmart,Verbal Agreement,30000,27000,1,,Quality and Testing,7,0,Wal-Mart,Time and Expense,0,Yes,Staff Augmentation
156,William Norman,Adesa,Verbal Agreement,360000,324000,1,Java Systems,Technology Build Services,7,0,US-East BU,Fixed Bid,0,No,Managed Services / SLA Based
157,Ankit Garg,Intel India,Verbal Agreement,500000,450000,1,Microsoft Systems,Technology Build Services,7,0,India BU,Time and Expense,0,Yes,Scope of Work / Project
158,Ankit Garg,Intel India,Signed Contract,120000,120000,1,,Technology Build Services,8,0,India BU,Time and Expense,0,No,Scope of Work / Project
159,Ankit Garg,Allianz Cornhill,Proposal On-desk Stage,12672,7603.2,1,,Technology Build Services,5,0,India BU,Time and Expense,0,No,Staff Augmentation
160,Ankit Garg,Allianz Cornhill,Verbal Agreement,8500,7650,1,,Technology Build Services,7,0,India BU,Time and Expense,0,No,Staff Augmentation
161,Ankit Garg,Allianz Cornhill,Proposal On-desk Stage,12000,7200,1,,Quality and Testing,5,0,India BU,Time and Expense,0,No,Staff Augmentation
162,Ankit Garg,Intel India,Signed Contract,30302,30302,1,,Quality and Testing,8,0,India BU,Time and Expense,0,No,Staff Augmentation
163,Ankit Garg,Allianz Cornhill,Proposal On-desk Stage,18216,10929.6,1,,Technology Build Services,5,0,India BU,Time and Expense,0,No,Staff Augmentation
